GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1003406,2282,Eco-Vista Landfill,AR,2210 Waste Management Drive,Springdale,Washington,72762,36.140147,-94.256073,Private,WM,1980,2023,Closed,"11,496,914",2022,Yes,3.881,2.498,201449-0,Operational,Project #2,5/24/2023,,Renewable Natural Gas,Vehicle Fuel,Pipeline Injection,,,,0.0000,0.0000
,11441,EMS Class 1 Landfill,AR,203 Possum Waller Road,DeWitt,Arkansas,72042,34.311,-91.272,Private,Eaton-Moery Environmental Services,,,Open,,,No,,,181003-0,Unknown,,,,Unknown,Unknown,,,,,,
,21402,Fulton Landfill-Cloverdale,AR,Cloverdale Road,Rogers,Benton,,36.370181,-94.086774,Private,"Fulton Landfill, Inc.",1977,1993,Closed,,,No,,,201738-0,Low Potential,,,,Unknown,Unknown,,,,,,
,11442,Jackson County Landfill,AR,2069 Jackson CR-265,Amagon,Jackson,72005,35.5894,-91.0922,Public,"Jackson County, AR",,,Open,,,No,,,181004-0,Low Potential,,,,Unknown,Unknown,,,,,,
1003615,2283,Jefferson County Landfill,AR,6000 Gravel Pit Road,White Hall,Jefferson,71602,34.34676,-92.19214,Private,WM,1992,2040,Open,"3,924,727",2022,Yes,0.703,0.703,180373-0,Candidate,,,,Unknown,Unknown,,,,,,
,21405,Little River County Landfill,AR,Highway 108 & County Road 11,Ashdown,Little River,,33.727581,-94.249631,Public,"Little River County, AR",1980,1994,Closed,,,No,,,201741-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004543,2093,Little Rock City SW Landfill,AR,10803 Ironton Cut Off Road,Little Rock,Pulaski,72206,34.65129,-92.30241,Public,"City of Little Rock, AR",1976,2073,Open,"3,954,965",2022,Yes,0.405,0.405,180152-0,Shutdown,Project #1,4/1/2008,2/1/2016,Direct,Direct Thermal,,,,0.576,,
1004543,2093,Little Rock City SW Landfill,AR,10803 Ironton Cut Off Road,Little Rock,Pulaski,72206,34.65129,-92.30241,Public,"City of Little Rock, AR",1976,2073,Open,"3,954,965",2022,Yes,0.405,0.405,201461-0,Candidate,,,,Unknown,Unknown,,,,,,
1004480,11421,Mississippi County LF,AR,1695 East CR-506,Luxora,Mississippi,72358,35.78,-89.97,Public,"Mississippi County, AR",1980,2087,Open,"2,628,317",2022,No,,,181000-0,Candidate,,,,Unknown,Unknown,,,,,,
1005898,2293,Modelfill Landfill,AR,3817 Mabelvale Pike,Little Rock,Pulaski,72204,34.7124,-92.3318,Private,"Republic Services, Inc.",1980,2012,Closed,"5,597,448",2011,Yes,0.588,0.588,180385-0,Low Potential,,,,Unknown,Unknown,,,,,,
1006470,11543,NABORS Landfill,AR,1320 RLH Landfill Road,Mountain Home,Baxter,72653,36.4639,-92.45196,Public,Ozark Mountain Solid Waste District,,2012,Closed,,,No,,,181013-0,Unknown,,,,Unknown,Unknown,,,,,,
1005319,11280,Northeast AR RSWMD Landfill Phases 2 & 3,AR,1810 Greene 890 Road,Paragould,Greene,72450,36.085,-90.4539,Public,Northeast AR RSWMD,1979,2031,Open,"3,047,929",2022,No,,,180987-0,Candidate,,,,Unknown,Unknown,,,,,,
1007681,2284,Ozark Ridge Landfill,AR,"10140 Ozark Ridge Access Lane
County Road 47 (South New Hope Road) and Hwy 7",Danville,Yell,72833,35.09,-93.2079,Private,WM,1986,2057,Open,"3,387,180",2022,Yes,0.557,0.557,180374-0,Candidate,,,,Unknown,Unknown,,,,,,
